"type","id","author","editor","advisor","note","title","pages","article_no","num_pages","keywords","doi","journal","issue_date","volume","issue_no","description","month","year","issn","booktitle","acronym","edition","isbn","conf_loc","publisher","publisher_loc"
"article","3267554","Tatsuya  Amano and Shugo  Kajita and Hirozumi  Yamaguchi and Teruo  Higashino and Mineo  Takai","","","","VRing: Bring Your Mobile App to Virtual Space","327--330","","4","Mobile App Test, Urban Environment, VR, Wi-Fi","10.1145/3267305.3267554","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3277841","Snigdha  Das","","","","A Framework for Group Identification Using Smartphone and Wearables","1847--1850","","4","collective sensing, group detection, smartphone, wearables","10.1145/3267305.3277841","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","2800837","Martin  de Jode and Andrew  Hudson-Smith and Panagiotis  Mavros and Paul  Coulton and Jonny  Huck and Jennifer  Roberts and Philip  Powell","","","","Showing Mutual Support Through Digital Empathy Badges","1--4","","4","IR transceiver, charity badge, empathy ribbon, smart badge","10.1145/2800835.2800837","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2800967","Shin'ichi  Konomi and Tomoyo  Sasao","","","","The Use of Colocation and Flow Networks in Mobile Crowdsourcing","1343--1348","","6","community detection, complex networks, mobile crowdsourcing, mobility, situated crowdsourcing","10.1145/2800835.2800967","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","2801641","Man  Su and Jianting  Ji and Yulin  Che and Ting  Liu and Siyun  Chen and Zhanbo  Xu","","","","An Appliance Classification Method for Residential Appliance Scheduling","1567--1570","","4","appliance characteristic, intelligent energy consumption, smart home, user preference","10.1145/2800835.2801641","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3125507","Amon  Rapp and Federica  Cena and Maurizio  Tirassa and Guido  Boella and Alessia  Calafiore and Roberto  Keller","","","","Tracking Personal Movements in Urban Environments: Personalized Maps for People with Autism Spectrum Disorder","883--886","","4","adaptive support, autism, personalized maps, self-tracking","10.1145/3123024.3125507","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3124567","Erik  Pescara and Maximilian  Iberl and Ida  Rockenbach and Xueying  Yuan and Alexander  Klein","","","","Exploration of Tactile Feedback in BI&#38;A Dashboards","953--958","","6","haptic interaction, tactile display, tactile graphs, vibrotactile patterns","10.1145/3123024.3124567","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3123167","Shu Hwa Lin and Kaimi  Kajiyama and TienHsiang  Wu","","","","Smart Diaper: How It Works","129--132","","4","adult-diaper, sensing diaper, smart-diaper","10.1145/3123024.3123167","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","3124424","Isibor Kennedy Ihianle and Usman  Naeem and Syed  Islam","","","","Ontology-driven Activity Recognition from Patterns of Object Use","654--657","","4","activity recognition, latent dirichlet allocation, ontology model, topic model","10.1145/3123024.3124424","","","","","","","2017","","Proceedings of the 2017 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2017 ACM International Symposium on Wearable Computers","UbiComp '17","","978-1-4503-5190-4","Maui, Hawaii","ACM","New York, NY, USA"
"article","2807954","Evangelos  Niforatos and Ivan  Elhart and Marc  Langheinrich","","","","Public Displays for Monitoring and Improving Community Wellbeing","775--778","","4","communities, heart rate, public displays, wellbeing","10.1145/2800835.2807954","","","","","","","2015","","Adjunct Proceedings of the 2015 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2015 ACM International Symposium on Wearable Computers","UbiComp/ISWC'15 Adjunct","","978-1-4503-3575-1","Osaka, Japan","ACM","New York, NY, USA"
"article","3267511","Masaki  Shuzo and Motoki  Sakai and Eisaku  Maeda","","","","Fundamental Concept of University Living Laboratory for Appropriate Feedback","1454--1461","","8","Accelerometer, Activity recognition, Group communication, Living laboratory, Sensor","10.1145/3267305.3267511","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3267624","Yutaka  Arakawa and Yugo  Nakamura and Hirohiko  Suwa and Yoshinori  Umetsu and Manato  Fujimoto and Keiichi  Yasumoto","","","","Feasibility Study Toward a Battery-free Place Recognition System Based on Solar Cells","1--4","","4","Energy harvesting, Place recognition, Solar cell","10.1145/3267305.3267624","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
"article","3343767","Kazuaki  Nomura and Motoi  Iwata and Olivier  Augereau and Koichi  Kise","","","","Estimation of Student's Engagement Based on the Posture","164--167","","4","e-learning, education, engagement, posture, pressure mat","10.1145/3341162.3343767","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3343837","Stefan  Fuchs and Nils  Einecke and Fabian  Eisele","","","","SmartLobby: Using a 24/7 Remote Head-eye-tracking for Content Personalization","53--56","","4","HCI, head-eye-tracking, personalization, smart environment","10.1145/3341162.3343837","","","","","","","2019","","Adjunct Proceedings of the 2019 ACM International Joint Conference on Pervasive and Ubiquitous Computing and Proceedings of the 2019 ACM International Symposium on Wearable Computers","UbiComp/ISWC '19 Adjunct","","978-1-4503-6869-8","London, United Kingdom","ACM","New York, NY, USA"
"article","3267537","Varun  Mishra and Tian  Hao and Si  Sun and Kimberly N. Walter and Marion J. Ball and Ching-Hua  Chen and Xinxin  Zhu","","","","Investigating the Role of Context in Perceived Stress Detection in the Wild","1708--1716","","9","Stress detection, context aware, mental health, mobile health (mHealth), wearable sensing","10.1145/3267305.3267537","","","","","","","2018","","Proceedings of the 2018 ACM International Joint Conference and 2018 International Symposium on Pervasive and Ubiquitous Computing and Wearable Computers","UbiComp '18","","978-1-4503-5966-5","Singapore, Singapore","ACM","New York, NY, USA"
